Country_ISO,Year,ESG_G_Regulatory_Quality,ESG_G_Rule_of_Law,ESG_G_Political_Stability,ESG_G_Gov_Effectiveness
AGO,2018,-1.0624393,-1.1105522,-0.4058117,-0.9784602
AGO,2019,-0.9960854,-1.0519682,-0.4207039,-0.9116965
AGO,2020,-1.0388818,-0.9475038,-0.6427634,-1.0163604
AGO,2021,-0.8486184,-1.0980135,-0.7936068,-0.9347008
AGO,2022,-0.8618821,-1.1625439,-0.5414068,-0.8325718
AGO,2023,-0.904342,-1.1944432,-0.3131654,-0.8287026
AGO,2024,-0.77302,-1.1697408,-0.5735964,-0.7851909
AIA,2010,1.4639385,1.2891313,1.5491647,1.7857949
AIA,2011,1.4650118,1.3036701,1.5428413,1.7844401
AIA,2012,1.4532839,1.2981311,1.5421738,1.7847814
AIA,2013,1.4515456,1.28575,1.5401343,1.7851624
AIA,2014,0.6188909,-0.0402989,1.2267455,1.4563681
AIA,2015,0.6299601,-0.0347847,1.2251811,1.4535264
AIA,2016,0.8693433,-0.0338758,1.221286,1.4545142
AIA,2017,0.8720819,-0.0361001,1.2217632,0.7664249
AIA,2018,0.8732079,-0.0339069,1.2251203,0.7681859
AIA,2019,0.8762608,0.4193614,1.2261279,0.7699023
AIA,2020,0.8710628,0.4217835,1.3857911,0.7650002
AIA,2021,0.868972,0.4132015,1.3836197,0.7679093
AIA,2022,0.8633998,0.4079249,1.3873573,1.1116761
AIA,2023,0.8639935,0.6332641,1.387965,1.1132177
AIA,2024,0.865338,0.6330323,1.3802784,1.1115868
ATG,2010,0.5759582,1.0247303,0.9357643,0.7531799
ATG,2011,0.5770316,1.0330986,0.9304755,0.7518252
ATG,2012,0.5653036,1.0299104,0.9299172,0.7521664
ATG,2013,0.5635653,1.0227841,0.9282114,0.7525475
ATG,2014,0.3820965,0.5532204,0.93921,0.0795479
ATG,2015,0.2063206,0.9093919,0.9161633,0.4209115
ATG,2016,0.2076412,0.9071149,0.7403626,0.4218993
ATG,2017,0.218442,0.65568,0.614623,-0.2661901
ATG,2018,0.484595,0.581689,0.7900001,-0.2644291
ATG,2019,0.5787682,0.5895105,0.9169085,-0.2627126
ATG,2020,0.576116,0.5899858,0.9164728,-0.6118196
ATG,2021,0.5644068,0.5666971,0.9147636,-0.6089105
ATG,2022,0.4644715,0.6200291,1.0787211,-0.0927924
ATG,2023,0.6218901,0.6185054,1.0791994,0.4312085
ATG,2024,0.6346032,0.6017732,1.0731489,0.4299698
ARG,2010,-0.7577834,-0.5170484,-0.0975562,0.0072363
ARG,2011,-0.7069559,-0.4685103,0.1203533,0.0717304
ARG,2012,-0.8410326,-0.5151067,0.0804879,0.0013935
ARG,2013,-0.835456,-0.5758327,0.0324742,-0.0162575
ARG,2014,-1.012746,-0.7299737,-0.0132091,0.1781782
ARG,2015,-0.7973254,-0.4673205,-0.0308863,0.1187015
ARG,2016,-0.2527044,-0.2365898,0.1932708,0.3427634
ARG,2017,-0.1203619,-0.1725046,0.2394066,0.2956525
ARG,2018,-0.1901335,-0.2022099,0.1204378,0.257748
ARG,2019,-0.4491083,-0.3381256,0.0571577,0.2629574
ARG,2020,-0.5471843,-0.2905497,0.0552501,0.148927
ARG,2021,-0.5840243,-0.303899,0.0921998,0.1125651
ARG,2022,-0.5792423,-0.2913485,0.0576438,0.1085858
ARG,2023,-0.5065132,-0.2377738,-0.0207671,0.0614731
ARG,2024,-0.235026,-0.2513801,-0.169746,0.1837479
ARM,2010,0.3844424,-0.4412636,0.0171223,-0.1432718
ARM,2011,0.3710118,-0.3869668,-0.142543,-0.0113661
ARM,2012,0.4081354,-0.3573176,0.0562514,0.0313392
ARM,2013,0.3441588,-0.3019861,-0.0281785,0.0697532
ARM,2014,0.1234003,-0.4145073,-0.2358315,-0.1326294
ARM,2015,0.2129025,-0.3963243,-0.1392644,-0.1424065
ARM,2016,0.2424884,-0.3080558,-0.3896011,-0.1056077
ARM,2017,0.2658499,-0.3193061,-0.3015882,-0.010591
ARM,2018,0.2852478,-0.2186606,-0.0038901,-0.1730616
ARM,2019,0.2583707,-0.2479879,0.0683699,-0.2531827
ARM,2020,0.2080999,-0.0751786,-0.2935835,-0.3375702
ARM,2021,0.1972098,-0.1028405,-0.5019,-0.3553578
ARM,2022,0.078326,-0.2386468,-0.3556235,-0.3306901
ARM,2023,0.0964411,-0.2107914,-0.5022441,-0.163441
ARM,2024,0.137992,-0.1423943,-0.7232973,-0.3640294
ABW,2010,1.4684441,1.4158901,1.2560673,1.0023954
ABW,2011,1.4689355,1.3475874,1.251139,1.0015699
ABW,2012,1.4635658,1.3458678,1.3159088,1.0017778
ABW,2013,1.4627699,1.3420243,1.3143193,1.00201
ABW,2014,1.2441605,1.0095673,1.2105482,0.6967705
ABW,2015,1.3576467,1.2928771,1.209329,0.6950388
ABW,2016,1.3588318,1.2931593,1.2062931,0.6956408
ABW,2017,1.2660605,1.2924687,1.2066651,0.6958363
ABW,2018,0.9845005,1.2931496,1.3341522,0.9066629
ABW,2019,0.9858983,1.2930625,1.3349374,0.9077089
ABW,2020,0.9835183,1.2938144,1.3345061,0.9047216
ABW,2021,0.9825611,1.2183341,1.3328137,0.9064944
ABW,2022,0.9800098,1.2205245,1.3357267,1.0084741
ABW,2023,0.9802816,1.2201246,1.3362003,0.6576186
ABW,2024,0.9808972,1.22006,1.3302095,0.6567856
